energy,sample,condition,events,fraction_of_all
100GeV,Birks MC,all,10000,1.0
100GeV,Birks MC,US1,9998,0.9998
100GeV,Birks MC,US2,9971,0.9971
100GeV,Birks MC,US3,9905,0.9905
100GeV,Birks MC,US1_US2,9970,0.997
100GeV,Birks MC,US1_US3,9904,0.9904
100GeV,Birks MC,US2_US3,9898,0.9898
100GeV,Birks MC,US1_US2_US3,9897,0.9897
100GeV,No-Birks MC,all,10000,1.0
100GeV,No-Birks MC,US1,9998,0.9998
100GeV,No-Birks MC,US2,9859,0.9859
100GeV,No-Birks MC,US3,9138,0.9138
100GeV,No-Birks MC,US1_US2,9858,0.9858
100GeV,No-Birks MC,US1_US3,9137,0.9137
100GeV,No-Birks MC,US2_US3,9117,0.9117
100GeV,No-Birks MC,US1_US2_US3,9116,0.9116
100GeV,Data,all,10000,1.0
100GeV,Data,US1,281,0.0281
100GeV,Data,US2,313,0.0313
100GeV,Data,US3,386,0.0386
100GeV,Data,US1_US2,134,0.0134
100GeV,Data,US1_US3,124,0.0124
100GeV,Data,US2_US3,137,0.0137
100GeV,Data,US1_US2_US3,117,0.0117
300GeV,Birks MC,all,10000,1.0
300GeV,Birks MC,US1,10000,1.0
300GeV,Birks MC,US2,9995,0.9995
300GeV,Birks MC,US3,9981,0.9981
300GeV,Birks MC,US1_US2,9995,0.9995
300GeV,Birks MC,US1_US3,9981,0.9981
300GeV,Birks MC,US2_US3,9979,0.9979
300GeV,Birks MC,US1_US2_US3,9979,0.9979
300GeV,No-Birks MC,all,10000,1.0
300GeV,No-Birks MC,US1,10000,1.0
300GeV,No-Birks MC,US2,9981,0.9981
300GeV,No-Birks MC,US3,9913,0.9913
300GeV,No-Birks MC,US1_US2,9981,0.9981
300GeV,No-Birks MC,US1_US3,9913,0.9913
300GeV,No-Birks MC,US2_US3,9912,0.9912
300GeV,No-Birks MC,US1_US2_US3,9912,0.9912
300GeV,Data,all,10000,1.0
300GeV,Data,US1,1234,0.1234
300GeV,Data,US2,1179,0.1179
300GeV,Data,US3,1233,0.1233
300GeV,Data,US1_US2,678,0.0678
300GeV,Data,US1_US3,601,0.0601
300GeV,Data,US2_US3,626,0.0626
300GeV,Data,US1_US2_US3,543,0.0543
